"";"x"
"1";105669,66516945
"2";108801,416511731
"3";111210,603398779
"4";101816,952127949
"5";95255,7951283241
"6";94463,8752968898
"7";108890,70625901
"8";103387,340675076
"9";108705,590004189
"10";96857,2773257548
"11";97303,5993670173
"12";106017,122886871
"13";106417,774000611
"14";103876,630760608
"15";103386,552526563
"16";94664,1451903075
"17";105705,851389975
"18";108534,470495434
"19";110138,718848112
"20";112612,94162952
"21";99450,8108048445
"22";100778,501060708
"23";94636,452208554
"24";103567,710982095
"25";98410,1311127817
"26";106033,727385648
"27";100237,619717554
"28";102309,026299637
"29";103435,314149855
"30";94578,3048228819
"31";107867,885750704
"32";103995,378379879
"33";106497,156826514
"34";100826,176863404
"35";107360,768245985
"36";112753,906505319
"37";106832,951047645
"38";103896,607892247
"39";107674,773465838
"40";102934,948290221
"41";102204,025750535
"42";102474,928543962
"43";100169,429564624
"44";101554,368710061
"45";102575,454311701
"46";100276,979847915
"47";98371,09239652
"48";95498,8023605266
"49";104811,703931143
"50";102538,66022255
"51";104875,123170982
"52";101754,245781443
"53";104783,899136932
"54";113446,417755284
"55";94634,4576477931
"56";103329,031122925
"57";91335,2877872812
"58";96783,9119989395
"59";110814,14113409
"60";100118,502221182
"61";101537,781156806
"62";92215,8538673739
"63";98901,7464378002
"64";105456,924417512
"65";102037,854808014
"66";95495,8538038539
"67";100569,158005781
"68";113354,345343426
"69";101955,113538331
"70";102611,810679026
"71";110116,028639646
"72";99038,5230075289
"73";100743,711344581
"74";108522,265324662
"75";100018,209840799
"76";103866,580623399
"77";98713,4446911665
"78";97963,048843142
"79";101205,626094575
"80";95368,3903230732
"81";102911,457911627
"82";101168,153122548
"83";94169,8195211222
"84";105124,920870193
"85";106062,481670389
"86";94397,5167253978
"87";109169,782226775
"88";111330,423071131
"89";95133,9394471852
"90";105376,251991053
"91";89343,8704922828
"92";104205,039282476
"93";100292,16663765
"94";98954,1146490452
"95";100084,533534741
"96";100292,701721125
"97";106617,371880424
"98";95087,7812091549
"99";105097,597946533
"100";109188,599742348
"101";104250,895147698
"102";105658,654890199
"103";100593,750742894
"104";100669,343252083
"105";103609,34256909
"106";105020,513623597
"107";104637,3650048
"108";102659,396723205
"109";111696,735420347
"110";98758,9232495465
"111";106164,490240558
"112";106645,412184676
"113";95179,09897026
"114";95580,2332341866
"115";102272,512146784
"116";105996,990763382
"117";105268,329921948
"118";96889,2534863906
"119";103052,892689283
"120";102051,429090241
"121";102965,080358693
"122";110894,300644324
"123";96088,3207591683
"124";108155,454311019
"125";108459,446392211
"126";100297,880371831
"127";100927,995667191
"128";92485,2301042814
"129";95376,1702561355
"130";99160,7060627402
"131";112555,695280056
"132";102223,697975347
"133";101211,585214908
"134";108036,074903405
"135";107515,528399345
"136";103979,715880838
"137";96144,2816498459
"138";90330,7504290605
"139";106068,029092429
"140";102481,18471308
"141";99097,9501330039
"142";98496,6252384619
"143";98075,094745947
"144";94112,1364820057
"145";106214,861855423
"146";102757,151109879
"147";106812,24112463
"148";108120,644511056
"149";108304,1642629
"150";102829,148315765
"151";93747,2812049585
"152";109197,035645886
"153";96067,5726466908
"154";103720,032916102
"155";99629,5472486118
"156";106241,07581416
"157";89599,0166708487
"158";104007,629535904
"159";99523,0490460874
"160";102929,858582336
"161";98570,9136902344
"162";102219,749789613
"163";99791,6090137408
"164";98052,0115535726
"165";103907,473209304
"166";103511,177157586
"167";99716,3146223563
"168";100895,632828724
"169";99385,0175458647
"170";105071,083715659
"171";106539,997291307
"172";100211,756884531
"173";106531,246699373
"174";101289,297240181
"175";103175,279209264
"176";104667,904003121
"177";106329,555353275
"178";96628,2166954455
"179";95585,2713328636
"180";97075,3661647303
"181";100729,819981747
"182";104089,239337923
"183";99914,3422870042
"184";102040,16820809
"185";96489,7125635323
"186";106689,305794335
"187";102581,122923086
"188";102768,210641348
"189";104093,267456577
"190";95028,0373685469
"191";104175,942088278
"192";99817,2497283338
"193";100693,334249456
"194";98883,6320795379
"195";98797,5993549585
"196";114301,870811163
"197";101645,943609317
"198";109622,123063308
"199";103360,731539495
"200";98091,0567065534
"201";97998,3434220102
"202";98794,1524922101
"203";101755,222509459
"204";102208,5360053
"205";105162,766065813
"206";103084,165882457
"207";98460,1833734914
"208";106057,959296672
"209";108827,196221211
"210";100041,07009835
"211";95329,2647611792
"212";102135,737098524
"213";107721,73560016
"214";100068,68753041
"215";111165,947301439
"216";101582,219179715
"217";98785,9464932469
"218";101114,246890416
"219";97224,9707640342
"220";97245,1510201516
"221";102022,228677476
"222";100470,535544166
"223";94696,196049162
"224";94692,3576200697
"225";96554,33286565
"226";100075,252788838
"227";100086,268301103
"228";101688,344816009
"229";98415,614487876
"230";100393,936522158
"231";98743,1089393283
"232";107084,842180107
"233";99480,9170910188
"234";97310,3662976953
"235";101668,226979279
"236";98630,5388445219
"237";101180,903858294
"238";103788,454112674
"239";106304,292192106
"240";103902,921426335
"241";99115,7409734199
"242";106637,073213062
"243";97782,5338247728
"244";110237,432934829
"245";107909,671850322
"246";95424,6285361332
"247";97374,0102354749
"248";103473,591895483
"249";102653,794363401
"250";100055,845830303
"251";101560,238146
"252";90888,3230283165
"253";102766,532985987
"254";93882,6077111721
"255";108871,41622107
"256";100345,374365721
"257";103332,114995854
"258";97824,0737937583
"259";108303,960431405
"260";104436,1976862
"261";108239,890540431
"262";102161,849817337
"263";93558,5257204108
"264";100961,674300069
"265";106848,121660733
"266";100503,927366948
"267";101228,754733762
"268";100421,951484419
"269";100692,381627373
"270";100034,469656214
"271";94533,3341591832
"272";100938,799794673
"273";110373,200893834
"274";108191,942593355
"275";111840,580902563
"276";103420,253461035
"277";105035,856594368
"278";100152,861645728
"279";102726,716713213
"280";106067,768290052
"281";102169,548548579
"282";105233,843046112
"283";99039,8130249064
"284";101424,794817039
"285";99719,7457586035
