VendorID,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,1,3.6,1,N,140,68,1,15.5,3,0.5,4,0,0.3,23.3,2.5
1,1,5.6,1,N,79,226,1,19.5,3,0.5,2,0,0.3,25.3,2.5
1,1,2.3,1,N,238,116,2,10,0.5,0.5,0,0,0.3,11.3,0
1,1,4.4,1,N,186,75,1,14.5,3,0.5,3.65,0,0.3,21.95,2.5
2,1,1.72,1,N,142,186,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,2,19,2,N,132,113,1,52,0,0.5,13.82,0,0.3,69.12,2.5
1,0,0.8,1,N,75,263,1,5.5,0.5,0.5,1,0,0.3,7.8,0
1,1,1.8,1,N,75,24,1,8,0.5,0.5,2.3,0,0.3,11.6,0
2,1,3.41,1,N,229,238,2,13,0.5,0.5,0,0,0.3,16.8,2.5
2,1,0.73,1,N,107,224,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,1,3.6,1,N,79,25,2,12.5,0.5,0.5,0,0,0.3,16.3,2.5
2,1,1.11,1,N,100,249,4,-5.5,-0.5,-0.5,0,0,-0.3,-9.3,-2.5
2,1,1.11,1,N,100,249,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,1,12.81,1,N,186,134,1,40,0.5,0.5,8.76,0,0.3,52.56,2.5
1,1,1.4,1,N,236,141,2,7,3,0.5,0,0,0.3,10.8,2.5
1,2,0.8,1,N,142,50,1,5,3,0.5,1.75,0,0.3,10.55,2.5
1,1,2.4,1,N,152,238,2,11,3,0.5,0,0,0.3,14.8,2.5
2,1,1.81,1,N,188,35,2,9,0.5,0.5,0,0,0.3,10.3,0
2,1,1.89,1,N,100,137,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,1,5.73,1,N,144,225,1,18.5,0.5,0.5,4.46,0,0.3,28.71,2.5
1,1,4.5,1,N,113,49,1,20,3,0.5,4.75,0,0.3,28.55,2.5
2,1,12.38,1,N,79,69,1,35,0.5,0.5,7.76,0,0.3,46.56,2.5
2,1,3.2,1,N,137,230,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5
1,1,0.8,1,N,237,162,1,4.5,3,0.5,1.65,0,0.3,9.95,2.5
